시설명,userid,평점,코멘트
제주돌문화공원,jdsrqu83z,3,휴식을 취하기에 최적의 장소였습니다.
대전대학교 서울한방병원,bfamw8ast,4,친구들과 함께 와서 즐거운 시간을 보냈습니다.
노원을지대학교병원,znawm9fe9,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
서울특별시보라매병원,ciocc3yns,5,가격 대비 매우 만족스러운 경험이었습니다.
양주시 옥정생활체육공원,ujosggdr1,4,시설이 현대적이고 깔끔합니다.
제주도립김창열미술관,tfuspgaws,3,서비스가 정말 좋았어요.
양평시네마,zmyqexrgq,4,주차 공간이 넉넉해서 편리했어요.
대한안과의사회 SL안과 ,vcxxnnvm1,5,시설이 매우 잘 관리되고 있었습니다.
사천시 공영주차장,vynuedhfs,1,다양한 활동과 프로그램이 부족했습니다.
대금굴,zndvv0jbv,3,시설 사용이 매우 편리했습니다.
부천시 공공시설 부설주차장,vkdlg262x,3,환경이 매우 청결하고 좋았습니다.
대한안과의사회 좋은사람들 성모안과 ,unwmwag2x,4,시설 이용이 매우 편리하고 좋았습니다.
롯데시네마,nwgviw0ll,5,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
진미통닭,izgfs8aqj,5,시설 내부가 넓고 쾌적합니다.
성산일출해양도립공원,wzeppf23p,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
진도자연휴양림,gkfzl6tk6,1,시설 내부가 좁고 불편했습니다.
대명콘도 제주 ,xfuoyns88,5,시설 내부가 넓고 쾌적합니다.
㈜일성여행사,ulxqj07ke,5,시설의 청결 상태가 매우 좋았습니다.
대한안과의사회-삼성미라클안과의원,ikero4v1a,5,시설의 위치가 좋아 접근성이 뛰어났습니다.
제주도립김창열미술관,wtzyzhhly,3,아이들이 놀기에 안전한 환경입니다.
한국만화박물관,eiwplf5v2,1,편안하고 조용한 분위기가 아니었습니다.
강동병원,zjrybklq7,1,가격 대비 품질이 좋지 않았습니다.
노형골프클럽,urmcxdmv9,4,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
㈜AFW,trtmyu7nj,4,시설이 매우 잘 관리되고 있었습니다.
진주시 안락공원,fqfbh5v9k,5,다양한 활동을 즐길 수 있어서 좋았어요.
진천 종박물관,pyjtgw89r,1,시설 관리가 잘 안되고 있었습니다.
거제시 추모의집,qjbxheic9,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
휘트니스H,mmffgf7v1,3,재방문 의사 있습니다.
김해시 보건소,xkdsxhdo0,3,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
민들레의료복지사회적협동조합,wfsne4ecn,5,위치가 좋아서 접근성이 뛰어납니다.
거창군 수승대썰매장,jdkyfubgf,5,서비스와 시설 모두 훌륭했습니다.
제주곶자왈도립공원,caapggupj,3,위치가 좋아서 접근성이 뛰어납니다.
동대문구 용두문화복지센터,pkuvlalu9,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
울산자생한방병원,vocqrtqoz,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
굿모닝백이안과,aanchxu4f,1,편안하고 조용한 분위기가 아니었습니다.
닥터뷰치과의원,juiamsl7q,3,서비스와 시설이 매우 인상적이었습니다.
안성시 보건소,gkonhbjoq,2,다양한 활동과 프로그램이 부족했습니다.
동두천시 보건소,twvbwglba,5,시설이 현대적이고 깔끔합니다.
대한미용사회 충청북도지회,nedssv1sy,4,전체적으로 기대 이상이었습니다.
통영시 공설봉안당,nxcojc5ef,1,가격 대비 품질이 좋지 않았습니다.
서대문구 보건소,izfphqwww,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
노형골프클럽,xeinwvrou,1,여름에는 너무 더웠습니다.
인제군 보건소,dpobjy5w0,3,시설이 현대적이고 깔끔합니다.
 주 강촌레일파크,wktzpawxu,5,시설의 위치가 좋아 접근성이 뛰어났습니다.
영월관광센터,yqsvw6jwg,3,서비스가 정말 좋았어요.
파주시체육시설,ekqzhi1vw,3,한 번쯤은 꼭 가볼 만한 곳입니다.
대한안과의사회 아이윤안과병원 ,gsdwdmu5x,4,편리한 위치에 있어 접근하기 쉬웠습니다.
인천광역시 농기계 임대,akawaqheq,3,주변 경관이 아름답습니다.
경주성모안과,skzuhj0vc,5,재방문 의사 있습니다.
유니버시아드 레포츠센터,ejmyz21m6,5,친구들에게 추천할 만한 곳입니다.
증평군 공영주차장,unqdadu7h,5,다양한 프로그램과 활동이 있어 좋았습니다.
가리왕산휴양림,wagyde47q,3,다양한 편의시설이 있어 편리했습니다.
대전국립숲체원,ufsxips6y,3,아이들과 함께 즐거운 시간을 보냈어요.
비치안의원,gtknzvt44,1,시설이 조금 낡았지만 여전히 좋았습니다.
우쌤전산세무회계직업전문학교,gicavgt24,5,가족 모두가 만족한 여행이었습니다.
평창돌문화체험관 ,cuoshbyvt,1,환경이 청결하지 않았습니다.
 주 천지장례식장,afiwyez5f,2,자연 경관이 좋지 않았습니다.
청태산휴양림,mcxwmv6mg,1,조금 붐비긴 했지만 전체적으로 만족합니다.
인천광역시 미추홀구 공영주차장,elrsf3gms,2,환경이 청결하지 않았습니다.
퍼시픽리솜,pczdfp0cb,3,여유롭고 편안한 분위기가 좋았습니다.
고성군 보건소,klbtjklln,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
진주레일바이크,jwrgp7esp,4,여기서 많은 추억을 만들었어요.
태화강 국가정원 전동차,uuvdv1wfn,3,가격 대비 만족도가 높았습니다.
동대문구 보건소,vjytqdqnx,3,다양한 활동과 프로그램이 있어 좋았습니다.
군 복지시설_휴양시설,fbzle8zl0,3,다양한 시설과 편의시설이 있어 매우 편리했습니다.
㈜한성브라보,dkopbegyo,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
춘해병원,keqxmg2ni,1,주차 공간이 부족했습니다.
산방산,cgmwo73va,3,가족 모두가 만족한 여행이었습니다.
양주실내체육관,lylszc61s,5,서비스가 정말 좋았어요.
철원군 병영체험수련시설,cjzkod1q7,1,가격 대비 만족도가 낮았습니다.
강동구 평생학습관,nvievw38k,4,서비스와 시설이 매우 인상적이었습니다.
전국안경사협동조합_서울관내 58개 안경원,lohkiuoqs,1,전망대에서 보는 풍경이 실망스러웠습니다.
방아재 한옥펜션,cbala4prd,2,가족 여행에 적합하지 않았습니다.
해성병원,khbolhxfa,2,가격 대비 만족도가 낮았습니다.
국립국악원,fbjuvesbo,2,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
군포시 청소년수련시설,jrooenyqb,2,다양한 시설과 편의시설이 부족했습니다.
연세고운미소치과의원,cxxlkuv74,5,다시 방문하고 싶어요.
남양주시 공영주차장,rmjdvtqlj,1,주변 자연 경관이 좋지 않았습니다.
여수시 승화원,mppuiswot,5,환경이 매우 청결하고 좋았습니다.
철원병원,hodmee8qk,4,여름에 가면 더욱 좋을 것 같아요.
대한안과의사회 굿모닝안과 ,czvhmf1uv,2,친구들과 함께 가기에는 적합하지 않았습니다.
의령 화정복합문화센터,jkuht16jo,2,시설 이용이 매우 불편했습니다.
제주OK렌터카,jzmjczm92,1,서비스와 시설 모두 개선이 필요합니다.
과천시 청소년수련관,sibxea1tm,3,정말 훌륭한 시설입니다!
횡성군 공영주차장,qyretzhut,2,가격 대비 만족도가 낮았습니다.
가평군 조종국민체육센터,jbcttguvt,5,주차 공간이 넉넉해서 편리했어요.
청남대,spzwzdsp6,2,친절한 직원들이 부족했습니다.
탑클래스치과의원,dkicz35li,1,주변 경관이 별로였습니다.
밀양시 공설화장장,rhaqcxzqr,2,시설이 너무 붐비고 혼잡했습니다.
군포시 초막골생태공원,nkbgxo5m4,2,서비스가 불만족스러웠습니다.
밝은누리안과,qoedygzsx,4,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
여수시 공영주차장,svmrl1qj2,1,활동이 다양하지 않았습니다.
김기수秀안과,leyhv2rvk,5,깨끗하고 편안했어요.
클로엔 성형외과,fbyseczlz,1,시설 사용이 매우 불편했습니다.
안경세상,imsfnhqlk,1,자연 경관이 좋지 않았습니다.
둔산직업전문학교,cwodbdcjq,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
대한안과의사회 조병춘안과 ,neempyhmk,1,서비스와 시설 모두 개선이 필요합니다.
해피뷰병원,telkfsjd9,3,여유롭고 편안한 분위기가 좋았습니다.
거제조선해양문화관,gscygqrnf,2,전반적으로 만족스럽지 않았습니다.
함안군 보건소,ypjvh8bg6,2,서비스가 불만족스러웠습니다.
광양시 주민자치센터,qhbehyaeo,2,환경이 청결하지 않았습니다.
삼성혈,xjrbcjf3i,4,시설이 매우 깔끔하고 현대적이었습니다.
운악산휴양림,ooten4knl,1,조금 아쉬운 부분이 있었어요.
담양군 보건소,sqlayjd8l,4,다양한 활동을 즐길 수 있어서 좋았어요.
중앙능력개발원,ymnizf9jf,1,편의시설이 부족했습니다.
테일러메이드골프볼코리아,pqxnomdbj,3,깨끗하고 정돈된 환경이 좋았습니다.
창경궁,hsskrigtq,1,편의시설이 부족했습니다.
제주민속촌박물관,mzmwidqnc,1,시설의 위치가 불편해서 접근성이 떨어졌습니다.
창녕스포츠파크,adnhhgya1,1,서비스가 불만족스러웠습니다.
금정구민운동장,vsqvbnr1m,1,전망대에서 보는 풍경이 실망스러웠습니다.
건양대학교병원,dvsuenbkf,4,직원들이 친절하고 도움이 많이 되었습니다.
여주시 보건소,svzutg8z6,4,시설 이용이 매우 편리하고 좋았습니다.
해금강테마박물관,kazaz49oy,2,조금 붐비긴 했지만 전체적으로 만족합니다.
양주시 주민자치센터,zasccah71,3,다음에 또 오고 싶어요.
김해중앙병원,vbecwppex,1,가격 대비 만족도가 낮았습니다.
행복한치과,bwnclhw40,1,시설의 청결 상태가 불만족스러웠습니다.
해성병원,vurhle9ts,1,뷰가 별로였습니다.
정선군 장사시설,ynzgq0sgq,3,가격 대비 매우 만족스러운 경험이었습니다.
영월관광센터,kyyxcizby,4,재방문 의사 있습니다.
서정치과의원,vqzxr52p6,4,깨끗하고 편안했어요.
사천바다케이블카,tshsv6oe3,1,시설 사용이 불편했습니다.
도봉구 공영주차장,rrgrjidcp,5,시설 관리가 잘 되어 있었습니다.
덕산스파뷰호텔,bjbxv5yqn,5,시설 사용이 매우 편리했습니다.
성남시 공영주차장,mmvvwtetn,5,시설 사용이 매우 편리했습니다.
고성군 공설주차장,noskwx7xi,5,시설이 현대적이고 깔끔합니다.
충남 서산의료원,hpscz0meu,5,친절한 직원들이 인상적이었습니다.
미천골휴양림,kaflio1jl,2,전망대에서 보는 풍경이 실망스러웠습니다.
영월군 공공체육시설,gghsfrz6k,2,시설이 너무 붐비고 혼잡했습니다.
서산시 사회복지관,ahdtdojsg,2,서비스와 시설이 매우 실망스러웠습니다.
아주대학교병원,fbkeum097,1,자연과의 접촉이 부족했습니다.
아리아팜 꽃·카페,zgcgrmgol,3,자연 경관이 매우 아름답습니다.
안경세상,xrecwh4e3,1,자연 경관이 좋지 않았습니다.
횡성군 평생학습관,xqpyxzzf3,5,추천합니다!
양구 박수근미술관,kgmlh2a2d,4,다음에 또 오고 싶어요.
영월군 주차장,qjiydppa1,5,친구들에게 추천할 만한 좋은 곳입니다.
동하재활의학과의원,haorninar,5,서비스가 정말 좋았어요.
청주병원,pgktylzc0,2,가격 대비 품질이 좋지 않았습니다.
창녕군민체육관,khutx30fd,4,깨끗하고 정돈된 환경이 좋았습니다.
제주특별자치도 체육시설,gfvoo3vi8,5,전반적으로 만족스러운 경험이었습니다.
금호콘도 화순 ,nyqdhngrd,4,시설 이용이 편리하고 안내도 잘 되어 있습니다.
강릉 아나병원,kborqoezh,5,가격 대비 매우 만족스러운 경험이었습니다.
디엔피코퍼레이션,ozqhqprk5,4,여유롭고 편안한 분위기가 좋았습니다.
원광대학교 의과대학 산본병원,czmfyirz7,1,서비스가 불만족스러웠습니다.
음성군 보건소,sapsbxbe7,3,자연 경관이 매우 아름답습니다.
인천광역시 남동구 체육시설,wynodbbc0,5,다양한 편의시설이 있어 편리했습니다.
가평군 가평테니스장,ffvcqfd5a,4,다양한 활동을 즐길 수 있어서 좋았어요.
주차장,jykgy7veb,5,친구들에게 추천할 만한 곳입니다.
함양군 체육시설,jkbke3njr,5,친구들에게 추천할 만한 좋은 곳입니다.
거제박물관,gztxf2mvi,5,편리한 위치에 있어 접근하기 쉬웠습니다.
광교연세안과,btvuvjr85,3,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
인제군 사회복지관 시설,nkehpanyh,4,전반적으로 만족스러운 경험이었습니다.
과천시청 부설주차장,trdsgerkt,3,자연과 함께하는 시간이 힐링이 되었어요.
장안통닭,btjox0u92,1,시설 내부가 좁고 불편했습니다.
우도해양도립공원,fvvpishqv,5,서비스와 시설 모두 훌륭했습니다.
대한안과의사회 대구현대안과 ,xeptxl14g,1,서비스가 불만족스러웠습니다.
종로구 보건소,wtejzgcvq,4,가족 여행에 추천합니다.
대한안과의사회 신세계안과 ,ahpkg9upx,1,친구들에게 추천하기 어려운 곳입니다.
제주씨월드,lkodqxrcy,4,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
서귀포휴양림,pgzmdawtl,2,자연과의 접촉이 부족했습니다.
안산시 부설주차장,xpygemcoh,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
단국대학교병원,hzvomj21b,5,서비스가 정말 좋았어요.
강원도민프로축구단,xjjcn5e0t,3,서비스와 시설 모두 훌륭했습니다.
태백산재병원,hhwqrr679,2,시설이 매우 실망스러웠습니다.
서대문자연사박물관,gwvqcw65x,2,시설이 너무 붐비고 혼잡했습니다.
올림픽기념국민생활관,kbicz9wi7,2,시설이 낡고 깨끗하지 않았습니다.
세종충남대학교병원,tdykczifd,5,아이들이 놀기에 안전한 환경입니다.
인천광역시 중구 체육시설,jshlr3fml,3,시설이 매우 잘 관리되고 있었습니다.
강한의원,twiycv4yq,3,아이들과 함께 즐거운 시간을 보냈어요.
오륜동 인조 잔디구장,ipewyv6mx,2,가족 모두가 만족하지 않았습니다.
부산광역시 기장군 공영주차장,yerjhwu01,3,다양한 활동을 즐길 수 있어서 좋았어요.
우리안경콘택트,qzhmd435g,2,가족 모두가 만족하지 않았습니다.
창명제어기술,ftajk23yg,3,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
임진강 독개다리 및 BEAT 131,hvlpye5su,4,깨끗하고 정돈된 환경이 좋았습니다.
SK텔레콤주바오밥,xownsp5ye,2,서비스가 불만족스러웠습니다.
상주시 승천원,slxtokplj,5,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
대명콘도 쏠비치 ,jkhrgyhvz,2,서비스와 시설이 매우 실망스러웠습니다.
산음휴양림,xcpkq68jb,5,시설 사용이 매우 편리했습니다.
강동구 평생학습관,pciovl4fq,3,시설 내부가 넓고 쾌적합니다.
메가박스 양주 ,cjelq33sl,3,깨끗하고 편안했어요.
구리시 주민자치센터,gliyemesi,2,여름에는 너무 더웠습니다.
태백시 체육시설,nqhrlhc7l,5,다시 방문하고 싶어요.
부산엑스더스카이,vbuvdi462,1,자연 경관이 좋지 않았습니다.
청주의료원,whsoyqno2,1,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
강원특별자치도재활병원,xpriz28hq,1,가격 대비 만족도가 낮았습니다.
플레이네이쳐,hwrrlgsgx,3,가족 여행에 추천합니다.
순천향대학교 부속 천안병원,afftdxgpq,1,위치가 불편해서 접근성이 떨어졌습니다.
김해중앙병원,rewkoe85o,2,전반적으로 만족스럽지 않았습니다.
통영시 보건소,oggnoxsgu,5,다양한 활동을 즐길 수 있어서 좋았어요.
곡성군 압록유원지시설,bdnrr7z1w,2,직원들이 조금 더 친절했으면 좋겠습니다.
양구 국토정중앙천문대,osrdi5308,1,체험 프로그램이 유익하지 않았습니다.
중앙능력개발원,wivfggh1y,2,시설 이용이 매우 불편했습니다.
백성병원,diujceeuz,3,뷰가 정말 아름다웠어요!
구리국민체육센터,xqtptrx87,5,다양한 활동과 프로그램이 있어 좋았습니다.
석성정밀 주  ,yduww7wgu,5,위치가 좋아서 접근성이 뛰어납니다.
용인대학교,nryzu7jvn,2,시설 내부가 좁고 불편했습니다.
양평군 공설장사시설,hmxfdmqwg,3,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
태백고생대자연사박물관,tazcw3453,4,주차 공간이 넉넉해서 편리했어요.
울산 남구 공영주차장,ftdthzwn6,5,시설이 현대적이고 깔끔합니다.
세종문화회관,yfhnbjdln,3,친구들에게 추천할 만한 곳입니다.
롯데리아,pfsyobacb,3,시설 관리가 잘 되어 있었습니다.
보은한양병원,itsdmwndf,2,자연과의 접촉이 부족했습니다.
시흥시 곤충전시체험관,wdeqaop3g,3,청결한 환경과 좋은 서비스에 만족했습니다.
안성시 공영주차장,byegio94n,1,가격 대비 만족도가 낮았습니다.
영광군 공영주차장,itgvz3foq,3,친구들에게 추천할 만한 곳입니다.
대한미용사회 충청북도지회,itpnmcd6f,3,정말 훌륭한 시설입니다!
뿌리병원,lppuvld9q,1,친구들과 함께 가기에는 적합하지 않았습니다.
오창호수병원,ggjzogbr7,5,친구들에게 추천할 만한 곳입니다.
보오구웨딩스튜디오,ryaolt1sz,2,편의시설이 부족했습니다.
인천광역시 농기계 임대,zfyft5ony,1,시설의 청결 상태가 불만족스러웠습니다.
담양국민체육센터,vkfsqjjk5,2,시설이 낡고 깨끗하지 않았습니다.
남산서울타워,jbwzm79ci,1,여름에는 너무 더웠습니다.
진주시 진양호동물원,qbcwml85a,4,가격 대비 만족도가 높습니다.
대한안과의사회 새빛안과병원 ,eclpbdyiw,1,주변 경관이 별로였습니다.
대국해저관광,hyjzbbyq6,1,가격 대비 만족도가 낮았습니다.
양천구 체육시설,nhvzau13r,4,가성비가 좋습니다.
세무법인 동반,rgylrcmog,2,시설 사용이 매우 불편했습니다.
강서구 체육시설,eluoth1ux,1,시설 관리가 잘 안되고 있었습니다.
양평군 공설장사시설,wayfrdnno,2,시설이 조금 낡았지만 여전히 좋았습니다.
성산일출해양도립공원,bzevychvc,2,위치가 불편해서 접근성이 떨어졌습니다.
인천문화예술회관,nncyqc667,1,다양한 시설과 편의시설이 부족했습니다.
철원군 화강문화센터,mktftwmhb,1,자연 경관이 좋지 않았습니다.
전국안경사협동조합_서울관내 58개 안경원,trybijrl8,3,청결한 환경과 좋은 서비스에 만족했습니다.
안양시 체육시설,xehbwte1q,5,여유롭고 편안한 분위기가 좋았습니다.
인제군 한국DMZ평화생명동산,pgvcermay,1,가족 여행에 적합하지 않았습니다.
원주시 체육시설,tqwyw7pv6,4,가격 대비 만족도가 높았습니다.
인천광역시 미추홀구 체육시설,irhxvep9p,4,시설 이용이 편리하고 안내도 잘 되어 있습니다.
명품요양병원,nkxzqd8x5,1,시설 내 모든 것이 정비되지 않았습니다.
첫눈애안과,ewatxvro1,3,전망대에서 보는 풍경이 최고였습니다.
동대문구 서울한방진흥센터,wzuhyataj,2,환경이 청결하지 않았습니다.
가평군 가평종합운동장,upiejfwim,3,가격 대비 매우 만족스러운 경험이었습니다.
구갈서울안과,bwplwfg1c,3,서비스가 정말 좋았어요.
보령직업전문학교,uyilogjtw,1,시설의 청결 상태가 불만족스러웠습니다.
제일케미칼,litpmwowe,1,아이들과 함께하기에는 불편한 점이 많았습니다.
마포구 체육시설,ozsgw85x7,4,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
붉은오름자연휴양림,ztmfhjl3d,4,시설 사용이 매우 편리했습니다.
팔봉산유원지,dpaig2i3a,5,시설이 현대적이고 깔끔합니다.
서귀포해양도립공원,pgzptzlju,4,아이들이 놀기에 안전한 환경입니다.
마포구 체육시설,bydzc4ioc,2,체험 프로그램이 유익하지 않았습니다.
해운대구 공영주차장,sgoookho6,3,깨끗하고 정돈된 환경이 좋았습니다.
철원군 두루엘 숲속  문화촌,ctjfgvwx3,5,시설 사용이 매우 편리했습니다.
원주시자연휴양림,lgnie4q9e,5,시설 사용이 매우 편리했습니다.
홍천군 주차장,xmxpwtiaw,2,시설 내 모든 것이 정돈되지 않았습니다.
대한안과의사회 조은눈 굿아이 안과 ,sbwjl1uwu,3,깨끗하고 편안했어요.
대전을지대학교병원,urmap2rjp,4,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
철원군 병영체험수련시설,dfdxdlu7l,1,시설 관리가 잘 안되고 있었습니다.
신불산폭포자연휴양림,cbohegrvq,1,시설 이용이 매우 불편했습니다.
대구미술관,wqdfwyd1f,2,시설 이용이 불편했고 안내가 부족했습니다.
남해군 공영주차장,zqavmj6lw,2,직원들이 조금 더 친절했으면 좋겠습니다.
전북현대모터스,tdzygoxxx,2,다양한 활동과 프로그램이 부족했습니다.
거제시 추모의집,dtpgrb7kh,4,시설의 위치가 좋아 접근성이 뛰어났습니다.
원치과,lraolnzq3,4,친절한 직원들이 인상적이었습니다.
하동군 구재봉 자연휴양림,ikhlvfgcu,4,시설 내부가 넓고 쾌적합니다.
센텀뉴욕치과,isbaad20t,4,가성비가 좋습니다.
